text,Label
srcip=164.46.10.100 dstip=111.7.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=4 fwdbytelen=0 bwdbytelen=0,SMA Subscribe Notify
srcip=40.54.10.100 dstip=111.7.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=4 fwdbytelen=0 bwdbytelen=0,benign
srcip=73.189.10.100 dstip=111.6.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=16 fwdbytelen=0 bwdbytelen=0,benign
srcip=56.118.10.100 dstip=111.13.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=9 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=182.131.10.100 dstip=111.13.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=21 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=167.210.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=24348535 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=232.72.10.100 dstip=111.8.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=25 fwdbytelen=0 bwdbytelen=0,benign
srcip=141.88.10.100 dstip=111.7.10.100 protocol=0 fwdpkts=3 bwdpkts=0 duration=75214278 fwdbytelen=0 bwdbytelen=0,SMA Subscribe Notify
srcip=210.220.10.100 dstip=111.11.10.100 protocol=0 fwdpkts=4 bwdpkts=0 duration=96612854 fwdbytelen=0 bwdbytelen=0,benign
srcip=90.197.10.100 dstip=111.11.10.100 protocol=0 fwdpkts=3 bwdpkts=0 duration=42076880 fwdbytelen=0 bwdbytelen=0,benign
srcip=211.106.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=24302023 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=142.11.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=3 bwdpkts=0 duration=31818679 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=40.239.10.100 dstip=111.11.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=76252119 fwdbytelen=0 bwdbytelen=0,benign
srcip=12.109.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=24 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=195.14.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=86952121 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=243.134.211.16 dstip=0.212.70.55 protocol=0 fwdpkts=2 bwdpkts=0 duration=43930928 fwdbytelen=0 bwdbytelen=0,benign
srcip=104.7.211.16 dstip=0.212.70.55 protocol=0 fwdpkts=2 bwdpkts=0 duration=116996873 fwdbytelen=0 bwdbytelen=0,benign
srcip=175.204.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=30249093 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=102.41.10.100 dstip=111.12.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=13 fwdbytelen=0 bwdbytelen=0,benign
srcip=110.171.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=17 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=27.231.10.100 dstip=111.11.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=56703665 fwdbytelen=0 bwdbytelen=0,benign
srcip=64.204.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=22 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=168.111.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=24078496 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=26.137.10.100 dstip=111.6.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=18 fwdbytelen=0 bwdbytelen=0,benign
srcip=95.111.10.100 dstip=111.11.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=9 fwdbytelen=0 bwdbytelen=0,benign
srcip=181.181.10.100 dstip=111.10.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=63 fwdbytelen=0 bwdbytelen=0,Rapid Reset
srcip=140.25.10.100 dstip=111.11.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=9 fwdbytelen=0 bwdbytelen=0,benign
srcip=212.93.211.16 dstip=0.212.70.55 protocol=0 fwdpkts=2 bwdpkts=0 duration=43885828 fwdbytelen=0 bwdbytelen=0,benign
srcip=2.87.10.100 dstip=111.11.10.100 protocol=0 fwdpkts=2 bwdpkts=0 duration=11 fwdbytelen=0 bwdbytelen=0,benign
srcip=36.154.211.16 dstip=0.212.70.55 protocol=0 fwdpkts=2 bwdpkts=0 duration=56273530 fwdbytelen=0 bwdbytelen=0,benign
